GeoFIPS,GeoName,Region,ComponentId,ComponentName,Line,Description,2012,2013,2014,2015,2016
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),23, Gross output of nonprofit institutions,2823,2910,2967,3085,3176
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,2453,2524,2549,2649,2670
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),1,Personal consumption expenditures,44420,45507,47262,48700,49547
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),2, Goods,13681,13902,14205,14241,14238
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),3,  Durable goods,4030,4079,4147,4243,4234
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),4,   Motor vehicles and parts,1090,1110,1122,1163,1108
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),5,   Furnishings and durable household equipment,986,993,1021,1041,1021
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),6,   Recreational goods and vehicles,1377,1383,1401,1409,1441
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),7,   Other durable goods,576,593,603,629,665
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),8,  Nondurable goods,9651,9823,10058,9998,10004
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),9,   Food and beverages purchased for off-premises consumption,3916,3917,3993,4025,4062
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),10,   Clothing and footwear,940,940,965,986,1000
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),11,   Gasoline and other energy goods,1462,1460,1438,1082,940
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),12,   Other nondurable goods,3333,3505,3661,3906,4002
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),13, Services,30739,31605,33057,34459,35309
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),14,  Household consumption expenditures (for services),28646,29447,30915,32248,33003
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),15,  Housing and utilities,7174,7465,7812,8026,8209
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),16,  Health care,8423,8634,9163,9845,10299
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),17,  Transportation services,999,1056,1103,1133,1184
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),18,  Recreation services,1398,1440,1549,1580,1576
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),19,  Food services and accommodations,3023,3139,3286,3486,3479
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),20,  Financial services and insurance,3063,3131,3397,3472,3530
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),21,  Other services,4567,4583,4605,4707,4726
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),2093,2158,2142,2211,2305
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),23, Gross output of nonprofit institutions,4979,5113,5133,5349,5555
2000,Alaska,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,2886,2956,2991,3138,3249
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),1,Personal consumption expenditures,31777,32394,33295,33922,34580
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),2, Goods,11705,11950,12232,12173,12184
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),3,  Durable goods,3499,3596,3703,3855,3894
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),4,   Motor vehicles and parts,1210,1279,1342,1425,1432
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),5,   Furnishings and durable household equipment,820,824,861,889,921
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),6,   Recreational goods and vehicles,920,934,931,963,951
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),7,   Other durable goods,550,559,569,578,591
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),8,  Nondurable goods,8205,8354,8529,8319,8290
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),9,   Food and beverages purchased for off-premises consumption,2581,2559,2626,2621,2588
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),10,   Clothing and footwear,1042,1068,1089,1101,1102
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),11,   Gasoline and other energy goods,1258,1241,1183,907,797
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),12,   Other nondurable goods,3324,3487,3631,3690,3803
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),13, Services,20072,20444,21063,21749,22396
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),14,  Household consumption expenditures (for services),19632,19978,20597,21266,21862
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),15,  Housing and utilities,6035,6135,6354,6488,6660
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),16,  Health care,4883,4930,4945,5115,5275
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),17,  Transportation services,906,940,983,1005,1033
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),18,  Recreation services,1104,1122,1168,1188,1218
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),19,  Food services and accommodations,2187,2250,2361,2506,2556
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),20,  Financial services and insurance,2135,2224,2343,2467,2537
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),21,  Other services,2382,2377,2443,2497,2584
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),440,466,466,483,534
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),23, Gross output of nonprofit institutions,2631,2701,2769,2859,2971
4000,Arizona,6,2,Per capita personal consumption expenditures (PCE) by state (dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,2192,2235,2303,2376,2437
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),1,Personal consumption expenditures,28077,28640,29365,30051,31117
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),2, Goods,10647,10899,11075,11059,11321
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),3,  Durable goods,3430,3572,3707,3856,3954
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),4,   Motor vehicles and parts,1316,1383,1461,1553,1584
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),5,   Furnishings and durable household equipment,738,756,783,826,864
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),6,   Recreational goods and vehicles,846,884,896,898,903
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),7,   Other durable goods,530,549,568,579,603
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),8,  Nondurable goods,7217,7327,7368,7203,7367
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),9,   Food and beverages purchased for off-premises consumption,2245,2282,2356,2435,2529
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),10,   Clothing and footwear,971,983,1007,1030,1051
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),11,   Gasoline and other energy goods,1686,1677,1524,1150,1032
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),12,   Other nondurable goods,2315,2386,2481,2587,2755
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),13, Services,17430,17741,18289,18992,19796
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),14,  Household consumption expenditures (for services),16887,17165,17707,18380,19120
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),15,  Housing and utilities,4335,4414,4495,4688,4791
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),16,  Health care,5061,5070,5297,5550,5920
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),17,  Transportation services,544,548,571,580,590
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),18,  Recreation services,972,997,1007,1022,1053
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),19,  Food services and accommodations,1581,1629,1681,1799,1893
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),20,  Financial services and insurance,2105,2215,2317,2407,2482
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),21,  Other services,2289,2291,2339,2334,2391
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),543,576,582,612,676
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),23, Gross output of nonprofit institutions,2766,2834,2886,3016,3168
5000,Arkansas,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,2223,2257,2304,2403,2492
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),1,Personal consumption expenditures,36490,37069,38548,40136,41827
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),2, Goods,11295,11370,11732,11980,12220
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),3,  Durable goods,3908,3983,4133,4386,4514
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),4,   Motor vehicles and parts,1090,1148,1215,1321,1353
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),5,   Furnishings and durable household equipment,840,853,874,912,937
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),6,   Recreational goods and vehicles,1339,1335,1371,1454,1502
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),7,   Other durable goods,638,648,673,699,722
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),8,  Nondurable goods,7388,7387,7599,7594,7705
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),9,   Food and beverages purchased for off-premises consumption,2663,2660,2729,2754,2764
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),10,   Clothing and footwear,1251,1265,1327,1368,1393
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),11,   Gasoline and other energy goods,1071,1029,980,747,694
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),12,   Other nondurable goods,2403,2433,2563,2726,2854
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),13, Services,25195,25699,26816,28155,29608
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),14,  Household consumption expenditures (for services),24287,24738,25835,27127,28460
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),15,  Housing and utilities,7962,8078,8333,8677,9022
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),16,  Health care,5611,5669,5853,6210,6538
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),17,  Transportation services,1206,1266,1350,1421,1507
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),18,  Recreation services,1351,1372,1423,1483,1557
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),19,  Food services and accommodations,2392,2478,2670,2901,3119
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),20,  Financial services and insurance,2659,2791,3003,3228,3359
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),21,  Other services,3106,3084,3204,3207,3359
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),908,960,981,1029,1148
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),23, Gross output of nonprofit institutions,4196,4308,4414,4619,4894
6000,California,8,2,Per capita personal consumption expenditures (PCE) by state (dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,3288,3348,3433,3590,3747
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),1,Personal consumption expenditures,37104,37770,39643,41153,42648
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),2, Goods,12381,12627,13071,13313,13689
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),3,  Durable goods,3792,3955,4105,4294,4394
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),4,   Motor vehicles and parts,1114,1171,1247,1330,1318
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),5,   Furnishings and durable household equipment,980,1025,1082,1150,1204
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),6,   Recreational goods and vehicles,1158,1194,1194,1208,1233
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),7,   Other durable goods,540,566,582,605,638
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),8,  Nondurable goods,8589,8672,8966,9019,9296
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),9,   Food and beverages purchased for off-premises consumption,2897,2877,2966,2997,3062
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),10,   Clothing and footwear,1100,1127,1158,1189,1215
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),11,   Gasoline and other energy goods,1163,1120,1048,789,696
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),12,   Other nondurable goods,3430,3548,3792,4044,4323
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),13, Services,24723,25142,26573,27840,28959
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),14,  Household consumption expenditures (for services),24010,24405,25804,27052,28125
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),15,  Housing and utilities,7304,7457,7807,8257,8578
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),16,  Health care,5202,5123,5397,5761,6045
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),17,  Transportation services,1250,1282,1366,1431,1506
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),18,  Recreation services,1730,1796,1889,1929,1972
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),19,  Food services and accommodations,2611,2698,2859,3058,3169
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),20,  Financial services and insurance,2622,2753,2978,3103,3180
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),21,  Other services,3291,3295,3508,3514,3675
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),713,738,768,788,834
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),23, Gross output of nonprofit institutions,3576,3630,3762,3952,4143
8000,Colorado,7,2,Per capita personal consumption expenditures (PCE) by state (dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,2863,2893,2993,3164,3309
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),1,Personal consumption expenditures,43203,44077,45896,47027,48497
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),2, Goods,13193,13595,14015,14113,14387
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),3,  Durable goods,4280,4493,4675,4804,4955
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),4,   Motor vehicles and parts,1331,1378,1431,1480,1512
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),5,   Furnishings and durable household equipment,1041,1100,1149,1179,1218
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),6,   Recreational goods and vehicles,1161,1244,1319,1346,1396
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),7,   Other durable goods,747,771,776,800,828
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),8,  Nondurable goods,8913,9101,9340,9308,9432
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),9,   Food and beverages purchased for off-premises consumption,3043,3060,3126,3176,3204
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),10,   Clothing and footwear,1278,1289,1306,1333,1356
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),11,   Gasoline and other energy goods,1318,1292,1275,979,830
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),12,   Other nondurable goods,3274,3460,3633,3821,4042
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),13, Services,30011,30482,31881,32914,34110
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),14,  Household consumption expenditures (for services),28664,29078,30443,31387,32476
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),15,  Housing and utilities,8515,8645,9031,9398,9734
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),16,  Health care,6995,7024,7254,7301,7509
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),17,  Transportation services,1489,1564,1640,1674,1726
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),18,  Recreation services,1727,1785,1821,1874,1938
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),19,  Food services and accommodations,2183,2232,2348,2479,2582
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),20,  Financial services and insurance,3414,3486,3836,4029,4184
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),21,  Other services,4340,4342,4513,4633,4803
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),1347,1404,1438,1527,1634
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),23, Gross output of nonprofit institutions,5697,5841,6039,6094,6279
9000,Connecticut,1,2,Per capita personal consumption expenditures (PCE) by state (dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,4351,4437,4601,4567,4645
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),1,Personal consumption expenditures,38684,39599,40719,41882,42868
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),2, Goods,12440,12664,12861,12948,13133
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),3,  Durable goods,4611,4715,4851,5032,5160
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),4,   Motor vehicles and parts,1658,1698,1779,1844,1864
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),5,   Furnishings and durable household equipment,694,712,728,780,815
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),6,   Recreational goods and vehicles,1477,1505,1522,1554,1584
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),7,   Other durable goods,783,800,821,855,898
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),8,  Nondurable goods,7829,7949,8011,7916,7973
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),9,   Food and beverages purchased for off-premises consumption,3178,3194,3220,3225,3239
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),10,   Clothing and footwear,1177,1219,1223,1235,1249
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),11,   Gasoline and other energy goods,1269,1247,1179,929,847
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),12,   Other nondurable goods,2205,2289,2389,2526,2638
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),13, Services,26244,26936,27857,28933,29735
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),14,  Household consumption expenditures (for services),25210,25847,26767,27796,28534
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),15,  Housing and utilities,6700,6881,7048,7216,7385
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),16,  Health care,7103,7239,7570,7912,8182
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),17,  Transportation services,840,877,916,940,988
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),18,  Recreation services,1135,1166,1206,1233,1243
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),19,  Food services and accommodations,2398,2429,2523,2693,2783
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),20,  Financial services and insurance,2552,2672,2749,2964,3039
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),21,  Other services,4482,4582,4755,4838,4915
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),1035,1088,1090,1138,1201
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),23, Gross output of nonprofit institutions,4213,4343,4550,4783,4969
10000,Delaware,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,3178,3255,3460,3645,3769
11000,District of Columbia,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),1,Personal consumption expenditures,50993,51502,53396,55250,56843
11000,District of Columbia,2,2,Per capita personal consumption expenditures (PCE) by state (dollars),2, Goods,12652,12873,13373,13716,13864
