GeoFIPS,GeoName,Region,ComponentName,Line,Description,2014,2015,2016
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),19,  Food services and accommodations,8683,9245,9674
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),20,  Financial services and insurance,11089,11700,12111
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),21,  Other services,10400,10662,11002
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),2026,2116,2461
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),23, Gross output of nonprofit institutions,14370,14972,15444
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,12345,12856,12983
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,34819,35926,36758
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),2, Goods,10465,10506,10563
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),3,  Durable goods,3055,3130,3141
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),4,   Motor vehicles and parts,827,858,822
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),5,   Furnishings and durable household equipment,752,768,757
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),6,   Recreational goods and vehicles,1032,1040,1069
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),7,   Other durable goods,444,464,493
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),8,  Nondurable goods,7410,7376,7422
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),9,   Food and beverages purchased for off-premises consumption,2942,2969,3014
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),10,   Clothing and footwear,711,728,742
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),11,   Gasoline and other energy goods,1060,798,698
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),12,   Other nondurable goods,2697,2881,2969
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),13, Services,24354,25421,26195
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),14,  Household consumption expenditures (for services),22776,23790,24485
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),15,  Housing and utilities,5755,5921,6090
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),16,  Health care,6751,7262,7640
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),17,  Transportation services,813,836,878
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),18,  Recreation services,1141,1166,1169
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),19,  Food services and accommodations,2421,2572,2581
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),20,  Financial services and insurance,2503,2561,2619
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),21,  Other services,3392,3472,3506
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),1578,1631,1710
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),23, Gross output of nonprofit institutions,3781,3946,4121
2000,Alaska,8,Total personal consumption expenditures (PCE) by state (millions of dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,2203,2315,2411
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,223743,231267,239680
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),2, Goods,82200,82993,84451
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),3,  Durable goods,24887,26280,26991
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),4,   Motor vehicles and parts,9019,9713,9926
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),5,   Furnishings and durable household equipment,5788,6064,6382
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),6,   Recreational goods and vehicles,6257,6564,6588
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),7,   Other durable goods,3823,3939,4094
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),8,  Nondurable goods,57313,56713,57461
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),9,   Food and beverages purchased for off-premises consumption,17648,17868,17939
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),10,   Clothing and footwear,7320,7509,7640
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),11,   Gasoline and other energy goods,7947,6182,5525
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),12,   Other nondurable goods,24397,25153,26357
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),13, Services,141543,148274,155229
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),14,  Household consumption expenditures (for services),138414,144981,151529
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),15,  Housing and utilities,42701,44234,46158
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),16,  Health care,33231,34874,36561
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),17,  Transportation services,6603,6849,7162
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),18,  Recreation services,7846,8098,8441
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),19,  Food services and accommodations,15864,17084,17714
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),20,  Financial services and insurance,15747,16819,17586
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),21,  Other services,16420,17022,17908
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),3129,3293,3699
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),23, Gross output of nonprofit institutions,18608,19494,20591
4000,Arizona,6,Total personal consumption expenditures (PCE) by state (millions of dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,15478,16201,16891
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,87122,89488,92984
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),2, Goods,32860,32933,33829
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),3,  Durable goods,10999,11484,11816
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),4,   Motor vehicles and parts,4333,4625,4735
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),5,   Furnishings and durable household equipment,2323,2460,2581
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),6,   Recreational goods and vehicles,2658,2674,2699
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),7,   Other durable goods,1684,1724,1802
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),8,  Nondurable goods,21861,21449,22013
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),9,   Food and beverages purchased for off-premises consumption,6991,7252,7557
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),10,   Clothing and footwear,2987,3068,3140
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),11,   Gasoline and other energy goods,4521,3424,3085
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),12,   Other nondurable goods,7362,7705,8232
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),13, Services,54262,56556,59155
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),14,  Household consumption expenditures (for services),52536,54732,57135
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),15,  Housing and utilities,13337,13959,14317
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),16,  Health care,15716,16528,17690
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),17,  Transportation services,1695,1726,1763
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),18,  Recreation services,2989,3043,3146
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),19,  Food services and accommodations,4987,5357,5657
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),20,  Financial services and insurance,6873,7169,7416
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),21,  Other services,6940,6949,7146
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),1726,1824,2020
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),23, Gross output of nonprofit institutions,8562,8981,9466
5000,Arkansas,5,Total personal consumption expenditures (PCE) by state (millions of dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,6835,7157,7446
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,1491076,1565046,1641724
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),2, Goods,453806,467153,479628
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),3,  Durable goods,159857,171014,177193
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),4,   Motor vehicles and parts,47000,51514,53118
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),5,   Furnishings and durable household equipment,33801,35554,36765
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),6,   Recreational goods and vehicles,53035,56689,58951
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),7,   Other durable goods,26021,27258,28358
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),8,  Nondurable goods,293949,296139,302435
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),9,   Food and beverages purchased for off-premises consumption,105569,107393,108499
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),10,   Clothing and footwear,51345,53336,54672
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),11,   Gasoline and other energy goods,37909,29115,27253
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),12,   Other nondurable goods,99127,106295,112011
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),13, Services,1037270,1097892,1162097
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),14,  Household consumption expenditures (for services),999335,1057778,1117050
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),15,  Housing and utilities,322315,338345,354114
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),16,  Health care,226409,242135,256603
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),17,  Transportation services,52206,55410,59131
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),18,  Recreation services,55055,57842,61119
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),19,  Food services and accommodations,103289,113129,122404
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),20,  Financial services and insurance,116147,125857,131852
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),21,  Other services,123915,125060,131828
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),37935,40115,45046
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),23, Gross output of nonprofit institutions,170736,180119,192109
6000,California,8,Total personal consumption expenditures (PCE) by state (millions of dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,132801,140004,147063
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,212078,224234,236296
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),2, Goods,69923,72538,75845
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),3,  Durable goods,21961,23395,24342
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),4,   Motor vehicles and parts,6672,7245,7302
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),5,   Furnishings and durable household equipment,5791,6268,6674
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),6,   Recreational goods and vehicles,6387,6585,6832
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),7,   Other durable goods,3111,3298,3535
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),8,  Nondurable goods,47962,49143,51503
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),9,   Food and beverages purchased for off-premises consumption,15869,16329,16966
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),10,   Clothing and footwear,6197,6481,6733
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),11,   Gasoline and other energy goods,5608,4299,3854
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),12,   Other nondurable goods,20288,22035,23949
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),13, Services,142155,151696,160451
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),14,  Household consumption expenditures (for services),138044,147403,155830
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),15,  Housing and utilities,41762,44991,47526
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),16,  Health care,28873,31389,33492
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),17,  Transportation services,7309,7796,8346
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),18,  Recreation services,10106,10512,10925
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),19,  Food services and accommodations,15296,16660,17560
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),20,  Financial services and insurance,15929,16905,17619
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),21,  Other services,18768,19149,20363
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),4111,4293,4620
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),23, Gross output of nonprofit institutions,20123,21533,22956
8000,Colorado,7,Total personal consumption expenditures (PCE) by state (millions of dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,16012,17240,18336
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,164852,168579,173447
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),2, Goods,50339,50590,51455
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),3,  Durable goods,16791,17221,17721
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),4,   Motor vehicles and parts,5140,5306,5409
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),5,   Furnishings and durable household equipment,4126,4225,4356
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),6,   Recreational goods and vehicles,4739,4824,4994
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),7,   Other durable goods,2786,2866,2962
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),8,  Nondurable goods,33549,33368,33734
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),9,   Food and beverages purchased for off-premises consumption,11227,11386,11459
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),10,   Clothing and footwear,4692,4778,4850
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),11,   Gasoline and other energy goods,4581,3509,2970
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),12,   Other nondurable goods,13049,13696,14455
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),13, Services,114513,117989,121993
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),14,  Household consumption expenditures (for services),109347,112516,116148
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),15,  Housing and utilities,32438,33688,34812
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),16,  Health care,26057,26172,26857
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),17,  Transportation services,5889,6001,6171
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),18,  Recreation services,6540,6719,6930
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),19,  Food services and accommodations,8433,8885,9236
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),20,  Financial services and insurance,13779,14442,14966
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),21,  Other services,16210,16608,17177
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),5166,5473,5845
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),23, Gross output of nonprofit institutions,21693,21845,22457
9000,Connecticut,1,Total personal consumption expenditures (PCE) by state (millions of dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,16526,16372,16612
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,38070,39540,40813
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),2, Goods,12025,12224,12503
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),3,  Durable goods,4535,4751,4912
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),4,   Motor vehicles and parts,1663,1741,1774
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),5,   Furnishings and durable household equipment,681,736,776
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),6,   Recreational goods and vehicles,1423,1467,1508
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),7,   Other durable goods,768,807,855
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),8,  Nondurable goods,7490,7473,7591
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),9,   Food and beverages purchased for off-premises consumption,3011,3045,3084
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),10,   Clothing and footwear,1143,1166,1189
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),11,   Gasoline and other energy goods,1102,877,806
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),12,   Other nondurable goods,2233,2385,2511
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),13, Services,26045,27315,28310
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),14,  Household consumption expenditures (for services),25026,26241,27166
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),15,  Housing and utilities,6590,6812,7031
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),16,  Health care,7078,7470,7790
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),17,  Transportation services,857,887,940
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),18,  Recreation services,1128,1164,1183
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),19,  Food services and accommodations,2359,2542,2649
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),20,  Financial services and insurance,2570,2799,2893
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),21,  Other services,4445,4568,4680
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),1019,1074,1143
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),23, Gross output of nonprofit institutions,4254,4516,4731
10000,Delaware,2,Total personal consumption expenditures (PCE) by state (millions of dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,3235,3441,3588
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,35188,37038,38720
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),2, Goods,8813,9195,9443
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),3,  Durable goods,2913,3080,3192
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),4,   Motor vehicles and parts,874,952,972
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),5,   Furnishings and durable household equipment,795,842,888
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),6,   Recreational goods and vehicles,674,682,697
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),7,   Other durable goods,570,605,635
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),8,  Nondurable goods,5900,6115,6252
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),9,   Food and beverages purchased for off-premises consumption,2592,2823,2910
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),10,   Clothing and footwear,981,1019,1053
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),11,   Gasoline and other energy goods,624,478,429
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),12,   Other nondurable goods,1704,1795,1861
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),13, Services,26375,27843,29276
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),14,  Household consumption expenditures (for services),25693,27220,28641
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),15,  Housing and utilities,6660,7016,7383
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),16,  Health care,6978,7338,7782
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),17,  Transportation services,1039,1082,1174
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),18,  Recreation services,1249,1275,1305
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),19,  Food services and accommodations,2277,2472,2543
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),20,  Financial services and insurance,2697,2929,3076
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),21,  Other services,4794,5107,5377
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),682,623,635
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),23, Gross output of nonprofit institutions,4127,4298,4471
11000,District of Columbia,2,Total personal consumption expenditures (PCE) by state (millions of dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,3445,3675,3837
12000,Florida,5,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,717453,761153,796537
