GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,2014,2015,2016
1000,Alabama,5,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",30624370,32119325,32582897
1000,Alabama,5,SA4,47,...,  Plus: Personal current transfer receipts,41347075,43007428,43949383
1000,Alabama,5,SA4,50,...,  Wages and salaries,85171508,88397705,90592415
1000,Alabama,5,SA4,60,...,  Supplements to wages and salaries,20671735,21851603,22316878
1000,Alabama,5,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,14290079,15250142,15665766
1000,Alabama,5,SA4,62,...,    Employer contributions for government social insurance,6381656,6601461,6651112
1000,Alabama,5,SA4,70,...,  Proprietors' income 9/,12601113,12417539,12240920
1000,Alabama,5,SA4,71,...,    Farm proprietors' income,1498889,1357605,781801
1000,Alabama,5,SA4,72,...,    Nonfarm proprietors' income,11102224,11059934,11459119
1000,Alabama,5,SA4,7010,...,Total employment,2554117,2589452,2625468
1000,Alabama,5,SA4,7020,...,  Wage and salary employment,1997408,2025920,2049083
1000,Alabama,5,SA4,7040,...,  Proprietors employment,556709,563532,576385
2000,Alaska*,8,SA4,10,...,Personal income (thousands of dollars),40242478,41701086,41283275
2000,Alaska*,8,SA4,11,...,  Nonfarm personal income 1/,40228785,41687743,41265547
2000,Alaska*,8,SA4,12,...,  Farm income 2/,13693,13343,17728
2000,Alaska*,8,SA4,20,...,Population (persons) 3/,736705,737709,741894
2000,Alaska*,8,SA4,30,...,Per capita personal income (dollars) 4/,54625,56528,55646
2000,Alaska*,8,SA4,35,...,  Earnings by place of work,30431683,31285703,30751138
2000,Alaska*,8,SA4,36,...,  Less: Contributions for government social insurance 5/,3125095,3179349,3107952
2000,Alaska*,8,SA4,37,...,    Employee and self-employed contributions for government social insurance,1551003,1601098,1588312
2000,Alaska*,8,SA4,38,...,    Employer contributions for government social insurance,1574092,1578251,1519640
2000,Alaska*,8,SA4,42,...,  Plus: Adjustment for residence 6/,-252107,-259014,-211111
2000,Alaska*,8,SA4,45,...,  Equals: Net earnings by place of residence,27054481,27847340,27432075
2000,Alaska*,8,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",6671928,7176974,7235774
2000,Alaska*,8,SA4,47,...,  Plus: Personal current transfer receipts,6516069,6676772,6615426
2000,Alaska*,8,SA4,50,...,  Wages and salaries,20642637,21227555,20529085
2000,Alaska*,8,SA4,60,...,  Supplements to wages and salaries,6604344,6725580,6689909
2000,Alaska*,8,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,5030252,5147329,5170269
2000,Alaska*,8,SA4,62,...,    Employer contributions for government social insurance,1574092,1578251,1519640
2000,Alaska*,8,SA4,70,...,  Proprietors' income 9/,3184702,3332568,3532144
2000,Alaska*,8,SA4,71,...,    Farm proprietors' income,-5209,-4508,-1616
2000,Alaska*,8,SA4,72,...,    Nonfarm proprietors' income,3189911,3337076,3533760
2000,Alaska*,8,SA4,7010,...,Total employment,461667,461720,456457
2000,Alaska*,8,SA4,7020,...,  Wage and salary employment,366309,367795,361183
2000,Alaska*,8,SA4,7040,...,  Proprietors employment,95358,93925,95274
4000,Arizona,6,SA4,10,...,Personal income (thousands of dollars),255696365,270258279,280120037
4000,Arizona,6,SA4,11,...,  Nonfarm personal income 1/,254789924,269076607,278675488
4000,Arizona,6,SA4,12,...,  Farm income 2/,906441,1181672,1444549
4000,Arizona,6,SA4,20,...,Population (persons) 3/,6719993,6817565,6931071
4000,Arizona,6,SA4,30,...,Per capita personal income (dollars) 4/,38050,39641,40415
4000,Arizona,6,SA4,35,...,  Earnings by place of work,172298811,180784963,189044317
4000,Arizona,6,SA4,36,...,  Less: Contributions for government social insurance 5/,20020524,21084967,22028368
4000,Arizona,6,SA4,37,...,    Employee and self-employed contributions for government social insurance,10826972,11411100,11981533
4000,Arizona,6,SA4,38,...,    Employer contributions for government social insurance,9193552,9673867,10046835
4000,Arizona,6,SA4,42,...,  Plus: Adjustment for residence 6/,1386150,1493270,1529981
4000,Arizona,6,SA4,45,...,  Equals: Net earnings by place of residence,153664437,161193266,168545930
4000,Arizona,6,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",48622509,52672343,53502140
4000,Arizona,6,SA4,47,...,  Plus: Personal current transfer receipts,53409419,56392670,58071967
4000,Arizona,6,SA4,50,...,  Wages and salaries,127825664,134092102,139320661
4000,Arizona,6,SA4,60,...,  Supplements to wages and salaries,28717881,29474098,30947841
4000,Arizona,6,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,19524329,19800231,20901006
4000,Arizona,6,SA4,62,...,    Employer contributions for government social insurance,9193552,9673867,10046835
4000,Arizona,6,SA4,70,...,  Proprietors' income 9/,15755266,17218763,18775815
4000,Arizona,6,SA4,71,...,    Farm proprietors' income,380784,727427,909180
4000,Arizona,6,SA4,72,...,    Nonfarm proprietors' income,15374482,16491336,17866635
4000,Arizona,6,SA4,7010,...,Total employment,3451334,3551092,3641938
4000,Arizona,6,SA4,7020,...,  Wage and salary employment,2672244,2748111,2818420
4000,Arizona,6,SA4,7040,...,  Proprietors employment,779090,802981,823518
5000,Arkansas,5,SA4,10,...,Personal income (thousands of dollars),112682792,116227802,118697988
5000,Arkansas,5,SA4,11,...,  Nonfarm personal income 1/,110106405,114566506,117367821
5000,Arkansas,5,SA4,12,...,  Farm income 2/,2576387,1661296,1330167
5000,Arkansas,5,SA4,20,...,Population (persons) 3/,2966912,2977853,2988248
5000,Arkansas,5,SA4,30,...,Per capita personal income (dollars) 4/,37980,39031,39722
5000,Arkansas,5,SA4,35,...,  Earnings by place of work,71398872,72170453,73821729
5000,Arkansas,5,SA4,36,...,  Less: Contributions for government social insurance 5/,8606604,8880030,9020415
5000,Arkansas,5,SA4,37,...,    Employee and self-employed contributions for government social insurance,4601919,4765429,4921907
5000,Arkansas,5,SA4,38,...,    Employer contributions for government social insurance,4004685,4114601,4098508
5000,Arkansas,5,SA4,42,...,  Plus: Adjustment for residence 6/,-235773,-239303,-262020
5000,Arkansas,5,SA4,45,...,  Equals: Net earnings by place of residence,62556495,63051120,64539294
5000,Arkansas,5,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",23954422,25856914,25810296
5000,Arkansas,5,SA4,47,...,  Plus: Personal current transfer receipts,26171875,27319768,28348398
5000,Arkansas,5,SA4,50,...,  Wages and salaries,50498002,52520711,53992614
5000,Arkansas,5,SA4,60,...,  Supplements to wages and salaries,11938451,11867550,12192456
5000,Arkansas,5,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,7933766,7752949,8093948
5000,Arkansas,5,SA4,62,...,    Employer contributions for government social insurance,4004685,4114601,4098508
5000,Arkansas,5,SA4,70,...,  Proprietors' income 9/,8962419,7782192,7636659
5000,Arkansas,5,SA4,71,...,    Farm proprietors' income,2303666,1341054,974958
5000,Arkansas,5,SA4,72,...,    Nonfarm proprietors' income,6658753,6441138,6661701
5000,Arkansas,5,SA4,7010,...,Total employment,1588357,1611276,1632609
5000,Arkansas,5,SA4,7020,...,  Wage and salary employment,1244559,1265564,1280755
5000,Arkansas,5,SA4,7040,...,  Proprietors employment,343798,345712,351854
6000,California,8,SA4,10,...,Personal income (thousands of dollars),1986025976,2133664158,2212691221
6000,California,8,SA4,11,...,  Nonfarm personal income 1/,1966960685,2115352775,2197256291
6000,California,8,SA4,12,...,  Farm income 2/,19065291,18311383,15434930
6000,California,8,SA4,20,...,Population (persons) 3/,38680810,38993940,39250017
6000,California,8,SA4,30,...,Per capita personal income (dollars) 4/,51344,54718,56374
6000,California,8,SA4,35,...,  Earnings by place of work,1425688101,1518146072,1584871378
6000,California,8,SA4,36,...,  Less: Contributions for government social insurance 5/,147648940,156514833,163470239
6000,California,8,SA4,37,...,    Employee and self-employed contributions for government social insurance,80407361,85072092,89379456
6000,California,8,SA4,38,...,    Employer contributions for government social insurance,67241579,71442741,74090783
6000,California,8,SA4,42,...,  Plus: Adjustment for residence 6/,-2325310,-2578375,-2760376
6000,California,8,SA4,45,...,  Equals: Net earnings by place of residence,1275713851,1359052864,1418640763
6000,California,8,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",409832839,450755494,459386914
6000,California,8,SA4,47,...,  Plus: Personal current transfer receipts,300479286,323855800,334663544
6000,California,8,SA4,50,...,  Wages and salaries,992196893,1067528735,1116921813
6000,California,8,SA4,60,...,  Supplements to wages and salaries,241377763,253612384,261253823
6000,California,8,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,174136184,182169643,187163040
6000,California,8,SA4,62,...,    Employer contributions for government social insurance,67241579,71442741,74090783
6000,California,8,SA4,70,...,  Proprietors' income 9/,192113445,197004953,206695742
6000,California,8,SA4,71,...,    Farm proprietors' income,13253144,12442909,9531557
6000,California,8,SA4,72,...,    Nonfarm proprietors' income,178860301,184562044,197164185
6000,California,8,SA4,7010,...,Total employment,22012509,22700618,23265312
6000,California,8,SA4,7020,...,  Wage and salary employment,16707395,17196853,17614572
6000,California,8,SA4,7040,...,  Proprietors employment,5305114,5503765,5650740
8000,Colorado,7,SA4,10,...,Personal income (thousands of dollars),267225467,282665204,288103337
8000,Colorado,7,SA4,11,...,  Nonfarm personal income 1/,265973054,281227341,287211979
8000,Colorado,7,SA4,12,...,  Farm income 2/,1252413,1437863,891358
8000,Colorado,7,SA4,20,...,Population (persons) 3/,5349648,5448819,5540545
8000,Colorado,7,SA4,30,...,Per capita personal income (dollars) 4/,49952,51876,51999
8000,Colorado,7,SA4,35,...,  Earnings by place of work,196699068,206233426,210375408
8000,Colorado,7,SA4,36,...,  Less: Contributions for government social insurance 5/,20727570,21914858,22618469
8000,Colorado,7,SA4,37,...,    Employee and self-employed contributions for government social insurance,10647379,11279170,11648803
8000,Colorado,7,SA4,38,...,    Employer contributions for government social insurance,10080191,10635688,10969666
8000,Colorado,7,SA4,42,...,  Plus: Adjustment for residence 6/,640897,692100,718880
8000,Colorado,7,SA4,45,...,  Equals: Net earnings by place of residence,176612395,185010668,188475819
8000,Colorado,7,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",56393169,60648666,61436552
8000,Colorado,7,SA4,47,...,  Plus: Personal current transfer receipts,34219903,37005870,38190966
8000,Colorado,7,SA4,50,...,  Wages and salaries,138677835,146634879,151322380
8000,Colorado,7,SA4,60,...,  Supplements to wages and salaries,29267506,29974172,30843346
8000,Colorado,7,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,19187315,19338484,19873680
8000,Colorado,7,SA4,62,...,    Employer contributions for government social insurance,10080191,10635688,10969666
8000,Colorado,7,SA4,70,...,  Proprietors' income 9/,28753727,29624375,28209682
8000,Colorado,7,SA4,71,...,    Farm proprietors' income,717630,976183,348734
8000,Colorado,7,SA4,72,...,    Nonfarm proprietors' income,28036097,28648192,27860948
8000,Colorado,7,SA4,7010,...,Total employment,3468212,3573920,3650873
8000,Colorado,7,SA4,7020,...,  Wage and salary employment,2596053,2672469,2729045
8000,Colorado,7,SA4,7040,...,  Proprietors employment,872159,901451,921828
9000,Connecticut,1,SA4,10,...,Personal income (thousands of dollars),239069549,244940968,247886635
9000,Connecticut,1,SA4,11,...,  Nonfarm personal income 1/,238917147,244798208,247735913
9000,Connecticut,1,SA4,12,...,  Farm income 2/,152402,142760,150722
9000,Connecticut,1,SA4,20,...,Population (persons) 3/,3591873,3584730,3576452
9000,Connecticut,1,SA4,30,...,Per capita personal income (dollars) 4/,66558,68329,69311
9000,Connecticut,1,SA4,35,...,  Earnings by place of work,159524938,162585354,163607936
9000,Connecticut,1,SA4,36,...,  Less: Contributions for government social insurance 5/,15943814,16407868,16697004
9000,Connecticut,1,SA4,37,...,    Employee and self-employed contributions for government social insurance,8429979,8658849,8856343
9000,Connecticut,1,SA4,38,...,    Employer contributions for government social insurance,7513835,7749019,7840661
9000,Connecticut,1,SA4,42,...,  Plus: Adjustment for residence 6/,13086460,13373730,14279495
9000,Connecticut,1,SA4,45,...,  Equals: Net earnings by place of residence,156667584,159551216,161190427
9000,Connecticut,1,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",51726413,53602213,53958211
9000,Connecticut,1,SA4,47,...,  Plus: Personal current transfer receipts,30675552,31787539,32737997
9000,Connecticut,1,SA4,50,...,  Wages and salaries,109042429,112426318,113106402
9000,Connecticut,1,SA4,60,...,  Supplements to wages and salaries,24267515,25128564,25202585
9000,Connecticut,1,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,16753680,17379545,17361924
9000,Connecticut,1,SA4,62,...,    Employer contributions for government social insurance,7513835,7749019,7840661
9000,Connecticut,1,SA4,70,...,  Proprietors' income 9/,26214994,25030472,25298949
9000,Connecticut,1,SA4,71,...,    Farm proprietors' income,-25056,-4489,-20376
9000,Connecticut,1,SA4,72,...,    Nonfarm proprietors' income,26240050,25034961,25319325
9000,Connecticut,1,SA4,7010,...,Total employment,2267590,2289486,2302300
9000,Connecticut,1,SA4,7020,...,  Wage and salary employment,1731857,1741397,1742685
9000,Connecticut,1,SA4,7040,...,  Proprietors employment,535733,548089,559615
10000,Delaware,2,SA4,10,...,Personal income (thousands of dollars),42175123,44438426,45574410
10000,Delaware,2,SA4,11,...,  Nonfarm personal income 1/,41662534,44062075,45251608
10000,Delaware,2,SA4,12,...,  Farm income 2/,512589,376351,322802
10000,Delaware,2,SA4,20,...,Population (persons) 3/,934948,944076,952065
10000,Delaware,2,SA4,30,...,Per capita personal income (dollars) 4/,45110,47071,47869
10000,Delaware,2,SA4,35,...,  Earnings by place of work,32278056,33975062,34273494
10000,Delaware,2,SA4,36,...,  Less: Contributions for government social insurance 5/,3680118,3866396,3915688
10000,Delaware,2,SA4,37,...,    Employee and self-employed contributions for government social insurance,1917132,2041548,2096130
10000,Delaware,2,SA4,38,...,    Employer contributions for government social insurance,1762986,1824848,1819558
10000,Delaware,2,SA4,42,...,  Plus: Adjustment for residence 6/,-2538052,-2704427,-2247246
10000,Delaware,2,SA4,45,...,  Equals: Net earnings by place of residence,26059886,27404239,28110560
10000,Delaware,2,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",7625549,8005364,8151655
10000,Delaware,2,SA4,47,...,  Plus: Personal current transfer receipts,8489688,9028823,9312195
10000,Delaware,2,SA4,50,...,  Wages and salaries,23628346,24497431,24676565
10000,Delaware,2,SA4,60,...,  Supplements to wages and salaries,5854688,6132151,6118539
10000,Delaware,2,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,4091702,4307303,4298981
10000,Delaware,2,SA4,62,...,    Employer contributions for government social insurance,1762986,1824848,1819558
10000,Delaware,2,SA4,70,...,  Proprietors' income 9/,2795022,3345480,3478390
10000,Delaware,2,SA4,71,...,    Farm proprietors' income,462843,334815,274090
10000,Delaware,2,SA4,72,...,    Nonfarm proprietors' income,2332179,3010665,3204300
10000,Delaware,2,SA4,7010,...,Total employment,556981,569246,576620
10000,Delaware,2,SA4,7020,...,  Wage and salary employment,451082,459450,464301
10000,Delaware,2,SA4,7040,...,  Proprietors employment,105899,109796,112319
11000,District of Columbia,2,SA4,10,...,Personal income (thousands of dollars),46157065,49671007,51842801
11000,District of Columbia,2,SA4,11,...,  Nonfarm personal income 1/,46157065,49671007,51842801
11000,District of Columbia,2,SA4,12,...,  Farm income 2/,0,0,0
11000,District of Columbia,2,SA4,20,...,Population (persons) 3/,659005,670377,681170
11000,District of Columbia,2,SA4,30,...,Per capita personal income (dollars) 4/,70041,74094,76108
11000,District of Columbia,2,SA4,35,...,  Earnings by place of work,87229169,91713980,95214127
11000,District of Columbia,2,SA4,36,...,  Less: Contributions for government social insurance 5/,9316138,9724892,10100059
11000,District of Columbia,2,SA4,37,...,    Employee and self-employed contributions for government social insurance,4517875,4743556,4954424
11000,District of Columbia,2,SA4,38,...,    Employer contributions for government social insurance,4798263,4981336,5145635
11000,District of Columbia,2,SA4,42,...,  Plus: Adjustment for residence 6/,-46586908,-47903464,-49422205
11000,District of Columbia,2,SA4,45,...,  Equals: Net earnings by place of residence,31326123,34085624,35691863
11000,District of Columbia,2,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",8886150,9377450,9557084
11000,District of Columbia,2,SA4,47,...,  Plus: Personal current transfer receipts,5944792,6207933,6593854
11000,District of Columbia,2,SA4,50,...,  Wages and salaries,64680012,67513670,69752657
11000,District of Columbia,2,SA4,60,...,  Supplements to wages and salaries,17395061,18081322,18744825
11000,District of Columbia,2,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,12596798,13099986,13599190
11000,District of Columbia,2,SA4,62,...,    Employer contributions for government social insurance,4798263,4981336,5145635
11000,District of Columbia,2,SA4,70,...,  Proprietors' income 9/,5154096,6118988,6716645
11000,District of Columbia,2,SA4,71,...,    Farm proprietors' income,0,0,0
11000,District of Columbia,2,SA4,72,...,    Nonfarm proprietors' income,5154096,6118988,6716645
11000,District of Columbia,2,SA4,7010,...,Total employment,861314,874389,889431
11000,District of Columbia,2,SA4,7020,...,  Wage and salary employment,767949,777160,789137
11000,District of Columbia,2,SA4,7040,...,  Proprietors employment,93365,97229,100294
12000,Florida,5,SA4,10,...,Personal income (thousands of dollars),856491910,919957986,947207472
12000,Florida,5,SA4,11,...,  Nonfarm personal income 1/,853994221,916773249,944902875
12000,Florida,5,SA4,12,...,  Farm income 2/,2497689,3184737,2304597
12000,Florida,5,SA4,20,...,Population (persons) 3/,19888741,20244914,20612439
12000,Florida,5,SA4,30,...,Per capita personal income (dollars) 4/,43064,45441,45953
12000,Florida,5,SA4,35,...,  Earnings by place of work,507928140,541836991,564243047
12000,Florida,5,SA4,36,...,  Less: Contributions for government social insurance 5/,59866944,63136032,66148323
12000,Florida,5,SA4,37,...,    Employee and self-employed contributions for government social insurance,32665004,34828988,36876100
12000,Florida,5,SA4,38,...,    Employer contributions for government social insurance,27201940,28307044,29272223
12000,Florida,5,SA4,42,...,  Plus: Adjustment for residence 6/,3240368,3323253,3395087
12000,Florida,5,SA4,45,...,  Equals: Net earnings by place of residence,451301564,482024212,501489811
12000,Florida,5,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",233785790,256979824,257805649
12000,Florida,5,SA4,47,...,  Plus: Personal current transfer receipts,171404556,180953950,187912012
12000,Florida,5,SA4,50,...,  Wages and salaries,378945434,404445735,424076734
12000,Florida,5,SA4,60,...,  Supplements to wages and salaries,82868621,87944290,89556107
12000,Florida,5,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,55666681,59637246,60283884
12000,Florida,5,SA4,62,...,    Employer contributions for government social insurance,27201940,28307044,29272223
12000,Florida,5,SA4,70,...,  Proprietors' income 9/,46114085,49446966,50610206
12000,Florida,5,SA4,71,...,    Farm proprietors' income,1220068,2070220,986813
12000,Florida,5,SA4,72,...,    Nonfarm proprietors' income,44894017,47376746,49623393
12000,Florida,5,SA4,7010,...,Total employment,10944829,11371094,11708333
12000,Florida,5,SA4,7020,...,  Wage and salary employment,8199434,8476957,8739974
12000,Florida,5,SA4,7040,...,  Proprietors employment,2745395,2894137,2968359
13000,Georgia,5,SA4,10,...,Personal income (thousands of dollars),394706562,418382680,434677178
13000,Georgia,5,SA4,11,...,  Nonfarm personal income 1/,392384073,415943291,432881144
13000,Georgia,5,SA4,12,...,  Farm income 2/,2322489,2439389,1796034
13000,Georgia,5,SA4,20,...,Population (persons) 3/,10087231,10199398,10310371
13000,Georgia,5,SA4,30,...,Per capita personal income (dollars) 4/,39129,41020,42159
13000,Georgia,5,SA4,35,...,  Earnings by place of work,289384713,306705949,321746556
13000,Georgia,5,SA4,36,...,  Less: Contributions for government social insurance 5/,31708429,33553625,35112314
13000,Georgia,5,SA4,37,...,    Employee and self-employed contributions for government social insurance,16838592,17922225,18928098
13000,Georgia,5,SA4,38,...,    Employer contributions for government social insurance,14869837,15631400,16184216
13000,Georgia,5,SA4,42,...,  Plus: Adjustment for residence 6/,-1379665,-1298284,-1477198
13000,Georgia,5,SA4,45,...,  Equals: Net earnings by place of residence,256296619,271854040,285157044
13000,Georgia,5,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",68463776,73217899,73959329
13000,Georgia,5,SA4,47,...,  Plus: Personal current transfer receipts,69946167,73310741,75560805
13000,Georgia,5,SA4,50,...,  Wages and salaries,212209032,224202429,234824990
13000,Georgia,5,SA4,60,...,  Supplements to wages and salaries,49727642,51389423,53668778
13000,Georgia,5,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,34857805,35758023,37484562
13000,Georgia,5,SA4,62,...,    Employer contributions for government social insurance,14869837,15631400,16184216
13000,Georgia,5,SA4,70,...,  Proprietors' income 9/,27448039,31114097,33252788
13000,Georgia,5,SA4,71,...,    Farm proprietors' income,1896604,2029460,1367284
13000,Georgia,5,SA4,72,...,    Nonfarm proprietors' income,25551435,29084637,31885504
13000,Georgia,5,SA4,7010,...,Total employment,5674692,5837449,5980009
13000,Georgia,5,SA4,7020,...,  Wage and salary employment,4323654,4444464,4553324
13000,Georgia,5,SA4,7040,...,  Proprietors employment,1351038,1392985,1426685
15000,Hawaii*,8,SA4,10,...,Personal income (thousands of dollars),66122066,69637831,71946077
15000,Hawaii*,8,SA4,11,...,  Nonfarm personal income 1/,65860603,69414140,71700317
15000,Hawaii*,8,SA4,12,...,  Farm income 2/,261463,223691,245760
15000,Hawaii*,8,SA4,20,...,Population (persons) 3/,1416349,1425157,1428557
15000,Hawaii*,8,SA4,30,...,Per capita personal income (dollars) 4/,46685,48863,50363
15000,Hawaii*,8,SA4,35,...,  Earnings by place of work,47220028,49516517,51239211
15000,Hawaii*,8,SA4,36,...,  Less: Contributions for government social insurance 5/,5447839,5687612,5854468
15000,Hawaii*,8,SA4,37,...,    Employee and self-employed contributions for government social insurance,2735998,2888349,3036184
15000,Hawaii*,8,SA4,38,...,    Employer contributions for government social insurance,2711841,2799263,2818284
15000,Hawaii*,8,SA4,42,...,  Plus: Adjustment for residence 6/,0,0,0
15000,Hawaii*,8,SA4,45,...,  Equals: Net earnings by place of residence,41772189,43828905,45384743
15000,Hawaii*,8,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",13810126,14892094,15250396
15000,Hawaii*,8,SA4,47,...,  Plus: Personal current transfer receipts,10539751,10916832,11310938
15000,Hawaii*,8,SA4,50,...,  Wages and salaries,32848050,34618520,35883907
15000,Hawaii*,8,SA4,60,...,  Supplements to wages and salaries,9754193,10052761,10209444
15000,Hawaii*,8,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,7042352,7253498,7391160
15000,Hawaii*,8,SA4,62,...,    Employer contributions for government social insurance,2711841,2799263,2818284
15000,Hawaii*,8,SA4,70,...,  Proprietors' income 9/,4617785,4845236,5145860
15000,Hawaii*,8,SA4,71,...,    Farm proprietors' income,-8674,-32613,-31102
15000,Hawaii*,8,SA4,72,...,    Nonfarm proprietors' income,4626459,4877849,5176962
15000,Hawaii*,8,SA4,7010,...,Total employment,883310,901694,914407
15000,Hawaii*,8,SA4,7020,...,  Wage and salary employment,703475,715730,723454
15000,Hawaii*,8,SA4,7040,...,  Proprietors employment,179835,185964,190953
16000,Idaho,7,SA4,10,...,Personal income (thousands of dollars),60744450,64209286,66433410
16000,Idaho,7,SA4,11,...,  Nonfarm personal income 1/,58295320,61972520,64434853
16000,Idaho,7,SA4,12,...,  Farm income 2/,2449130,2236766,1998557
16000,Idaho,7,SA4,20,...,Population (persons) 3/,1633532,1652828,1683140
16000,Idaho,7,SA4,30,...,Per capita personal income (dollars) 4/,37186,38848,39470
16000,Idaho,7,SA4,35,...,  Earnings by place of work,40704859,42741090,44593372
16000,Idaho,7,SA4,36,...,  Less: Contributions for government social insurance 5/,4850090,5100039,5344181
16000,Idaho,7,SA4,37,...,    Employee and self-employed contributions for government social insurance,2481910,2632954,2772668
16000,Idaho,7,SA4,38,...,    Employer contributions for government social insurance,2368180,2467085,2571513
16000,Idaho,7,SA4,42,...,  Plus: Adjustment for residence 6/,968283,963761,1004274
16000,Idaho,7,SA4,45,...,  Equals: Net earnings by place of residence,36823052,38604812,40253465
16000,Idaho,7,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",12696475,13767586,13928775
16000,Idaho,7,SA4,47,...,  Plus: Personal current transfer receipts,11224923,11836888,12251170
16000,Idaho,7,SA4,50,...,  Wages and salaries,26671760,27881452,29443921
16000,Idaho,7,SA4,60,...,  Supplements to wages and salaries,6521901,7172739,7692475
16000,Idaho,7,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,4153721,4705654,5120962
16000,Idaho,7,SA4,62,...,    Employer contributions for government social insurance,2368180,2467085,2571513
16000,Idaho,7,SA4,70,...,  Proprietors' income 9/,7511198,7686899,7456976
16000,Idaho,7,SA4,71,...,    Farm proprietors' income,1732619,1653771,1314545
16000,Idaho,7,SA4,72,...,    Nonfarm proprietors' income,5778579,6033128,6142431
16000,Idaho,7,SA4,7010,...,Total employment,925712,949247,977416
